Product name,Reference,Category,SKU,Price CZK,Price EUR,Imp. Cost EUR,Imp. Cost CZK,Weight (g),Imported (pcs),Stock (pcs),Total orders
Sơn Enjoy super đen,2512 Sơn Enjoy đen,Hoá chất,A0001230,120,5,#N/A,48.06,100,120,-1,0
Máy Ultraschall 2L,2409 Máy Ultraschall 2L,Đồ điện,A0000730,3000,120,56.10,"1,404.39",100,20,-1,0
Nhũ đường A 50g,2409 Nhũ đường A 50g,Design,A0000731,250,10,Loading...,41.08,100,60,-1,0
Nhũ đường B 50g,2409 Nhũ đường B 50g,Design,A0000732,250,10,1.64,41.08,100,60,-2,0
Nhũ đường C 50g,2409 Nhũ đường C 50g,Design,A0000733,250,10,1.33,33.39,100,60,-1,0
Nhũ bạc phản quang mịn R1 50g,2409 Nhũ bạc phản quang mịn R1 50g,Design,A0000734,450,18,9.68,Loading...,100,50,-1,0
Bát nhựa ngâm tay,2409 Bát nhựa ngâm tay,Tools & Accessories,A0000735,75,3,0.26,6.63,100,200,-4,0
Bạc Foil 3g,2409 Bạc Foil,Design,A0000736,125,5,Loading...,21.19,100,50,-1,0
Típ làm mẫu trong tròn 50c set,2409 Típ làm mẫu trong tròn 50c set,Tools & Accessories,A0000737,75,3,Loading...,13.26,100,100,-2,0
Nam châm mắt mèo - 5in1,2409 Nam châm mắt mèo - hình Cộng,Tools & Accessories,A0000738,200,8,2.12,52.99,100,100,-1,0
Chổi vệ sinh đầu mài,2409 Chổi quét đầu mài,Tools & Accessories,A0000739,100,4,Loading...,Loading...,100,50,-1,0
Chai sơn không 15ml,2409 Chai sơn không 15ml,Tools & Accessories,A0000743,37.5,1.5,0.06,1.60,100,400,-3,0
Chai primer không 15ml,2511 Chai primer không,Tools & Accessories,A0001164,37.5,1.5,0.79,19.02,100,204,-5,0
Chai bond không 15ml,2511 Chai bond không,Tools & Accessories,A0001163,37.5,1.5,0.79,19.02,100,204,-10,0
Hộp đựng phá tròn trắng,2409 Hộp đựng phá tròn trắng,Tools & Accessories,A0000746,125,5,0.57,14.32,100,50,-4,0
