Product name	Reference	Category	SKU	Price CZK	Price EUR	Imp. Cost EUR	Imp. Cost CZK
50ml - Gel đắp IBD PINK	2509 Gel đắp IBD PINK 50ml	Gel đắp	A0001092	350	14	3.78	91.83
Chrome base coat 15ml	2509 Chrome Base Coat 15ml	Top Coat	A0001105	250	10	3.61	87.38
Nam châm Mắt mèo thường	2507 Nam châm mắt mèo	Tools & Accessories	A0001054	50	2	0.53	12.95
Chrome ngọc trai 1g	2507 Chrome ngọc trai trắng 1g	Design	A0001031	120	5	0.38	9.28
Nhũ đường D hũ 50gram	2406 Nhũ đường D hũ 50gram	Design	A0000618	250	10	1.63	40.76
15ml top coat tím đặc	2406 15ml top coat đặc	Top Coat	A0000622	200	10	1.10	27.47
Khẩu trang y tế	Khẩu trang y tế	Tools & Accessories	A0000623	50	2	1.00	25.00
Bào nâng gầm	2406 Bào nâng gầm	Đầu bào	A0000624	180	8	3.01	74.66
4XC - Đầu tròn v2	2506 4XC Đầu tròn v2	Đầu bào	A0001017	200	8	2.34	58.08
3in1 Mịn C - dài	2506 Mịn 3in1 C - Dài	Đầu bào	A0001016	200	8	2.15	53.48
Bút đắp bột - kim cương - sz18	2507 Bút đắp bột - kim cương - sz18	Bút	A0001053	1300	53	20.09	495.31
Nhám đỏ manicure	2407 Nhám đỏ	Tools & Accessories	A0000641	375	15	9.03	227.30
Máy bào Marathon 3 bạc	2407 Máy Marathon 3 Champion bạc	Đồ điện	A0000645	3600	150	42.84	1,079.04
Dây cắm 3 châm Korea	2407 Dây cắm 3 châm Korea	Đồ điện	A0000646	150	6	2.25	56.78
Đèn bàn LED đen	2407 Đèn bàn LED đen	Đồ điện	A0000648	1500	60	31.57	795.10
Cốc nắp vặn liquid	2507 Cốc nắp vặn liquid	Tools & Accessories	A0001035	100	4	2.36	49.24
Set lọ inox đựng bột liquid	2407 Set lọ inox đựng bột liquid	Tools & Accessories	A0000651	300	12	6.76	170.37
Kê bàn trưng bày	2407 Kê bán trừng bày	Tools & Accessories	A0000652	150	6	2.25	56.78
Cốc đựng bột trái tim	2407 Cốc đựng bột trái tim	Tools & Accessories	A0000653	100	4	2.20	55.37
Hộp đựng dụng cụ	2407 Hộp đựng dụng cụ	Tools & Accessories	A0000656	30	1.2	0.73	18.45
Túi Đá nhỏ - bạc	2407 Túi Đá nhỏ - bạc	Design	A0000660	100	4	0.51	12.77
Túi Đá nhỏ - 7 màu	2407 Túi Đá nhỏ - 7 màu	Design	A0000661	100	4	0.56	14.20
Biển mẫu 50 NailArt	2407 Bảng tip display	Tools & Accessories	A0000662	100	4	1.41	35.49
Típ cho bảng tip display	2407 Típ cho bảng tip display	Tools & Accessories	A0000663	50	2	0.45	11.36
Quyển bảng màu marble 160	2407 Quyển bảng màu marble 160	Tools & Accessories	A0000664	250	10	3.16	79.51
Quyển bảng màu gold 120	2407 Quyển bảng màu gold 120	Tools & Accessories	A0000665	250	10	3.83	96.55
Quyển bảng màu gold 216	2407 Quyển bảng màu gold 216	Tools & Accessories	A0000666	250	10	4.74	119.27
Quyển bảng màu to 300	2407 Quyển bảng màu to 300	Tools & Accessories	A0000667	625	25	13.53	340.75
Dũa nhỏ Precision 80/80	2407 Dũa Precision 80/80	Dũa	A0000670	375	15	4.79	120.86
Đèn vòng bàn - trắng	2407 Đèn vòng bàn - trắng	Đồ điện	A0000673	1975	79	26.06	657.49
Thùng Túi y tế 4000c	2407 Thùng Túi y tế 4000c	Pedicure	A0000674	4500	180	36.23	914.14
Thùng Mini buffer 1500c	2407 Thùng Mini buffer 1500c	Pedicure	A0000675	2500	100	21.39	539.66
Thùng Dũa mini 5000c	2407 Thùng Dũa mini 5000c	Pedicure	A0000676	6000	240	74.14	1,870.74
5XC - Titan Xanh	2601 5XC Titan	Đầu bào	A0001243	375	15	4.92	119.39
4XC - tròn nhỏ	2408 4XC Tròn nhỏ	Đầu bào	A0000689	200	8	2.18	54.96
Bút quan tài sz16	2408 Bút quan tài sz16	Bút	A0000690	1200	48	18.07	454.97
Tay bào Korea bạc	2408 Tay bào Korea bạc	Đồ điện	A0000693	2000	80	20.18	508.09
Chổi than japan	2408 Chổi than Japan	Đồ điện	A0000694	250	10	0.92	23.10
Mài da khoé	2408 Mài da khoé	Đầu bào	A0000695	170	8	2.61	65.51
Bào mịn 3in1 - F	2408 3in1 Mịn F	Đầu bào	A0000696	170	8	2.61	65.51
Đèn cầu vòng đính đá	2508 Đèn cầu vòng - đính đá	Đồ điện	A0001079	1975	79	34.04	831.75
Chrome ngọc trai 7 màu	2408 Chrome ngọc trai 7 màu	Design	A0000699	125	5	3.71	93.13
Chả gọt chân Inox	2408 Chà gọt chân	Tools & Accessories	A0000700	200	8	1.08	27.11
Xốp kẹp chân 1000c	2408 Xốp kẹp chân 2000c	Tools & Accessories	A0000704	1000	40	21.20	531.01
Kê tay da - ghi	2408 Kê tay da - ghi	Tools & Accessories	A0000706	200	8	2.94	73.76
Bào gầm khoé nhọn	2409 Bào gầm khoé nhọn	Đầu bào	A0000708	180	8	2.57	64.34
Bào gầm mỏng	2409 Bào gầm mỏng	Đầu bào	A0000709	170	8	2.57	64.34
Chổi đánh bóng	2409 Chổi đánh bóng	Đầu bào	A0000710	100	4	0.54	13.60
Bào gầm răng thẳng	2409 Bào gầm răng thẳng	Đầu bào	A0000711	200	8	2.57	64.34
5XC - đầu tròn	2409 5XC Đầu tròn	Đầu bào	A0000712	180	8	2.57	64.34
M - to tròn	2409 M to tròn	Đầu bào	A0000713	180	8	2.57	64.34
M - nhỏ	2409 M nhỏ	Đầu bào	A0000714	180	8	2.57	64.34
Bào mịn 3in1 - M	2409 3in1 Mịn M	Đầu bào	A0000715	200	8	2.89	72.24
2XC Đầu vát	2409 2XC Đầu vát	Đầu bào	A0000716	180	8	2.57	64.34
Bột màu 56g Nude collection	2409 Bột màu 56g Nude collection	Bột	A0000717	300	12	4.23	105.95
Bột - VIP Natural Pink	2409 Bột - VIP Natural Pink	Bột	A0000718	1000	40	19.75	494.43
Muối ngâm chân 5kg	2511 Muối ngâm chân 4.2kg	Pedicure	A0001222	750	30	8.34	201.31
Sugar Scrub - Orange 20kg	2506 Xô Sugar Scrub Orange - 20KG	Pedicure	A0001009	3750	150	162.50	4,018.38
Kem Mango Vera 600ml	2409 Kem Mango Vera 600ml	Hoá chất	A0000723	250	10	4.84	121.06
Sơn Enjoy super trắng	2512 Sơn Enjoy trắng	Hoá chất	A0001231	120	5	1.99	48.04
Sơn Enjoy super đen	2512 Sơn Enjoy đen	Hoá chất	A0001230	120	5	1.99	48.04
Máy Ultraschall 2L	2409 Máy Ultraschall 2L	Đồ điện	A0000730	3000	120	56.10	1,404.39
Nhũ đường A 50g	2409 Nhũ đường A 50g	Design	A0000731	250	10	1.64	41.08
Nhũ đường B 50g	2409 Nhũ đường B 50g	Design	A0000732	250	10	1.64	41.08
Nhũ đường C 50g	2409 Nhũ đường C 50g	Design	A0000733	250	10	1.33	33.39
Nhũ bạc phản quang mịn R1 50g	2409 Nhũ bạc phản quang mịn R1 50g	Design	A0000734	450	18	9.68	242.45
Bát nhựa ngâm tay	2409 Bát nhựa ngâm tay	Tools & Accessories	A0000735	75	3	0.26	6.63
Bạc Foil 3g	2409 Bạc Foil	Design	A0000736	125	5	0.85	21.19
Típ làm mẫu trong tròn 50c set	2409 Típ làm mẫu trong tròn 50c set	Tools & Accessories	A0000737	75	3	0.53	13.26
Nam châm mắt mèo - 5in1	2409 Nam châm mắt mèo - hình Cộng	Tools & Accessories	A0000738	200	8	2.12	52.99
Chổi vệ sinh đầu mài	2409 Chổi quét đầu mài	Tools & Accessories	A0000739	100	4	1.06	26.49
